Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
TwitchAction_SpawnInfernalCommand,twitch,Actions,,,,#spawn_infernal,,,#aparición_infernal,,,,,,,,,,
TwitchAction_SpawnInfernalDesc,twitch,Actions,,,,Spawns an infernal zombie.,,,Aparece un zombi infernal.,,,,,,,,,,
TwitchAction_SpawnLion,twitch,Actions,,,,Lion,,,Puma,,,,,,,,,,
TwitchAction_SpawnLionCommand,twitch,Actions,,,,#spawn_lion,,,#aparición_león,,,,,,,,,,
TwitchAction_SpawnLionDesc,twitch,Actions,,,,Spawns a single lion.,,,Aparece un solo puma.,,,,,,,,,,
TwitchAction_SpawnMutated,twitch,Actions,,,,Mutated Zombie,,,Zombi mutado,,,,,,,,,,
TwitchAction_SpawnMutatedCommand,twitch,Actions,,,,#spawn_mutated,,,#invocar_mutado,,,,,,,,,,
TwitchAction_SpawnMutatedDesc,twitch,Actions,,,,Spawns a Mutated zombie.,,,Aparece un zombi mutado.,,,,,,,,,,
TwitchAction_SpawnMutatedFeral,twitch,Actions,,,,Feral Mutated Zombie,,,Zombi mutado salvaje,,,,,,,,,,
TwitchAction_SpawnMutatedFeralDesc,twitch,Actions,,,,Spawns a Feral Mutated zombie.,,,Aparece un zombi mutado salvaje.,,,,,,,,,,
TwitchAction_SpawnMutatedInfernal,twitch,Actions,,,,Infernal Mutated Zombie,,,Zombi mutado infernal,,,,,,,,,,
TwitchAction_SpawnMutatedInfernalDesc,twitch,Actions,,,,Spawns a Infernal Mutated zombie.,,,Aparece un zombi mutado infernal.,,,,,,,,,,
TwitchAction_SpawnMutatedRad,twitch,Actions,,,,Radiated Mutated Zombie,,,Zombi mutado irradiado,,,,,,,,,,
TwitchAction_SpawnMutatedRadDesc,twitch,Actions,,,,Spawns a Radiated Mutated zombie.,,,Aparece un zombi mutado irradiado.,,,,,,,,,,
TwitchAction_SpawnNormal,twitch,Actions,,,,Normal Zombie,,,Zombi normal,,,,,,,,,,
TwitchAction_SpawnNormalCommand,twitch,Actions,,,,#spawn_normal,,,#aparición_normal,,,,,,,,,,
TwitchAction_SpawnNormalDesc,twitch,Actions,,,,Spawns a normal zombie.,,,Aparece un zombi normal.,,,,,,,,,,
TwitchAction_SpawnRad,twitch,Actions,,,,Radiated Zombie,,,Zombi irradiado,,,,,,,,,,
TwitchAction_SpawnRadCommand,twitch,Actions,,,,#spawn_rad,,,#aparición_irrad,,,,,,,,,,
TwitchAction_SpawnRadDesc,twitch,Actions,,,,Spawns a single Radiated zombie.,,,Aparece un solo zombi irradiado.,,,,,,,,,,
TwitchAction_SpawnRancher,twitch,Actions,,,,Rancher Zombie,,,Zombi ranchero,,,,,,,,,,
TwitchAction_SpawnRancherCharged,twitch,Actions,,,,Charged Rancher Zombie,,,Zombi ranchero cargado,,,,,,,,,,
TwitchAction_SpawnRancherChargedDesc,twitch,Actions,,,,Spawns a Charged Rancher zombie.,,,Aparece un zombi ranchero cargado.,,,,,,,,,,
TwitchAction_SpawnRancherCommand,twitch,Actions,,,,#spawn_rancher,,,#aparición_ranchero,,,,,,,,,,
TwitchAction_SpawnRancherDesc,twitch,Actions,,,,Spawns a Rancher zombie.,,,Aparece un zombi ranchero.,,,,,,,,,,
TwitchAction_SpawnRancherFeral,twitch,Actions,,,,Feral Rancher Zombie,,,Zombi ranchero salvaje,,,,,,,,,,
TwitchAction_SpawnRancherFeralDesc,twitch,Actions,,,,Spawns a Feral Rancher zombie.,,,Aparece un zombi ranchero salvaje.,,,,,,,,,,
TwitchAction_SpawnRancherRad,twitch,Actions,,,,Radiated Rancher Zombie,,,Zombi ranchero irradiado,,,,,,,,,,
TwitchAction_SpawnRancherRadDesc,twitch,Actions,,,,Spawns a Radiated Rancher zombie.,,,Aparece un zombi ranchero irradiado.,,,,,,,,,,
TwitchAction_SpawnSnake,twitch,Actions,,,,Snake,,,Serpiente,,,,,,,,,,
TwitchAction_SpawnSnakeCommand,twitch,Actions,,,,#spawn_snake,,,#aparición_serpiente,,,,,,,,,,
TwitchAction_SpawnSnakeDesc,twitch,Actions,,,,Spawns a single snake.,,,Aparece una sola serpiente.,,,,,,,,,,
TwitchAction_SpawnSnow,twitch,Actions,,,,Lumberjack Zombie,,,Zombi leñador,,,,,,,,,,
TwitchAction_SpawnSnowCommand,twitch,Actions,,,,#spawn_lumberjack,,,#aparición_leñador,,,,,,,,,,
TwitchAction_SpawnSnowDesc,twitch,Actions,,,,Spawns a single Lumberjack zombie.,,,Aparece un solo zombi leñador.,,,,,,,,,,
TwitchAction_SpawnSnowFeral,twitch,Actions,,,,Feral Lumberjack Zombie,,,Zombi leñador salvaje,,,,,,,,,,
TwitchAction_SpawnSnowFeralDesc,twitch,Actions,,,,Spawns a single Feral Lumberjack zombie.,,,Aparece un solo zombi leñador salvaje.,,,,,,,,,,
TwitchAction_SpawnSoldier,twitch,Actions,,,,Soldier Zombie,,,Zombi soldado,,,,,,,,,,
TwitchAction_SpawnSoldierCommand,twitch,Actions,,,,#spawn_soldier,,,#aparición_soldado,,,,,,,,,,
TwitchAction_SpawnSoldierDesc,twitch,Actions,,,,Spawns a single Soldier zombie.,,,Aparece un solo zombi soldado.,,,,,,,,,,
TwitchAction_SpawnSoldierFeral,twitch,Actions,,,,Feral Soldier Zombie,,,Zombi soldado salvaje,,,,,,,,,,
TwitchAction_SpawnSoldierFeralDesc,twitch,Actions,,,,Spawns a single Feral Soldier zombie.,,,Aparece un solo zombi soldado salvaje.,,,,,,,,,,
TwitchAction_SpawnSoldierInfernal,twitch,Actions,,,,Infernal Soldier Zombie,,,Zombi soldado infernal,,,,,,,,,,
TwitchAction_SpawnSoldierInfernalDesc,twitch,Actions,,,,Spawns a single Infernal Soldier zombie.,,,Aparece un solo zombi soldado infernal.,,,,,,,,,,
TwitchAction_SpawnSoldierRad,twitch,Actions,,,,Radiated Soldier Zombie,,,Zombi soldado irradiado,,,,,,,,,,
TwitchAction_SpawnSoldierRadDesc,twitch,Actions,,,,Spawns a single Radiated Soldier zombie.,,,Aparece un solo zombi soldado irradiado.,,,,,,,,,,
TwitchAction_SpawnSpider,twitch,Actions,,,,Spider Zombie,,,Araña zombi,,,,,,,,,,
TwitchAction_SpawnSpiderCommand,twitch,Actions,,,,#spawn_spider,,,#aparición_araña,,,,,,,,,,
TwitchAction_SpawnSpiderDesc,twitch,Actions,,,,Spawns a single Spider zombie.,,,Aparece una sola araña zombi.,,,,,,,,,,
TwitchAction_SpawnSpiderFeral,twitch,Actions,,,,Feral Spider Zombie,,,Araña zombi salvaje,,,,,,,,,,
TwitchAction_SpawnSpiderFeralDesc,twitch,Actions,,,,Spawns a single Feral Spider zombie.,,,Aparece una sola araña zombi salvaje.,,,,,,,,,,
TwitchAction_SpawnSpiderInfernal,twitch,Actions,,,,Infernal Spider Zombie,,,Zombi araña infernal,,,,,,,,,,
TwitchAction_SpawnSpiderInfernalDesc,twitch,Actions,,,,Spawns a single infernal spider zombie.,,,Aparece un solo zombi araña infernal.,,,,,,,,,,
TwitchAction_SpawnSpiderRad,twitch,Actions,,,,Radiated Spider Zombie,,,Araña zombi irradiada,,,,,,,,,,
TwitchAction_SpawnSpiderRadDesc,twitch,Actions,,,,Spawns a single Radiated Spider zombie.,,,Aparece una sola araña zombi irradiada.,,,,,,,,,,
TwitchAction_SpawnTourist,twitch,Actions,,,,Tourist Zombie,,,Zombi turista,,,,,,,,,,
TwitchAction_SpawnTouristCommand,twitch,Actions,,,,#spawn_tourist,,,#aparición_turista,,,,,,,,,,
TwitchAction_SpawnTouristDesc,twitch,Actions,,,,Spawns a single Tourist zombie.,,,Aparece un solo zombi turista.,,,,,,,,,,
TwitchAction_SpawnTouristFeral,twitch,Actions,,,,Feral Tourist Zombie,,,Zombi turista salvaje,,,,,,,,,,
TwitchAction_SpawnTouristFeralDesc,twitch,Actions,,,,Spawns a single Feral Tourist zombie.,,,Aparece un solo zombi turista salvaje.,,,,,,,,,,
TwitchAction_SpawnTouristInfernal,twitch,Actions,,,,Infernal Tourist Zombie,,,Zombi turista infernal,,,,,,,,,,
TwitchAction_SpawnTouristInfernalDesc,twitch,Actions,,,,Spawns a single Infernal Tourist zombie.,,,Aparece un solo zombi turista infernal.,,,,,,,,,,
TwitchAction_SpawnTouristRad,twitch,Actions,,,,Radiated Tourist Zombie,,,Zombi turista irradiado,,,,,,,,,,
TwitchAction_SpawnTouristRadDesc,twitch,Actions,,,,Spawns a single Radiated Tourist zombie.,,,Aparece un solo zombi turista irradiado.,,,,,,,,,,
TwitchAction_SpawnTrioBoar,twitch,Actions,,,,Boar (x3),,,Jabalí (x3),,,,,,,,,,
TwitchAction_SpawnTrioBoarCommand,twitch,Actions,,,,#trio_boar,,,#trío_jabalí,,,,,,,,,,
TwitchAction_SpawnTrioBoarDesc,twitch,Actions,,,,Spawns a set of three boars.,,,Aparece un conjunto de tres jabalíes.,,,,,,,,,,
TwitchAction_SpawnTrioChicken,twitch,Actions,,,,Murder Chicken (x3),,,Gallina asesino (x3),,,,,,,,,,
TwitchAction_SpawnTrioChickenCommand,twitch,Actions,,,,#trio_chicken,,,#trío_gallina,,,,,,,,,,
TwitchAction_SpawnTrioChickenDesc,twitch,Actions,,,,Spawns a set of three murder chickens.,,,Aparece un conjunto de tres gallinas asesinas.,,,,,,,,,,
TwitchAction_SpawnTrioCoyote,twitch,Actions,,,,Coyote (x3),,,Coyote (x3),,,,,,,,,,
TwitchAction_SpawnTrioCoyoteCommand,twitch,Actions,,,,#trio_coyote,,,#trío_coyote,,,,,,,,,,
TwitchAction_SpawnTrioCoyoteDesc,twitch,Actions,,,,Spawns a set of three coyotes.,,,Aparece un conjunto de tres coyotes.,,,,,,,,,,
TwitchAction_SpawnTrioCrawler,twitch,Actions,,,,Crawler Zombie (x3),,,Zombi rastrero (x3),,,,,,,,,,
TwitchAction_SpawnTrioCrawlerCommand,twitch,Actions,,,,#trio_crawler,,,#trío_rastrero,,,,,,,,,,
TwitchAction_SpawnTrioCrawlerDesc,twitch,Actions,,,,Spawns a set of three crawler zombies.,,,Aparece un conjunto de tres zombis rastreros.,,,,,,,,,,
TwitchAction_SpawnTrioDirewolf,twitch,Actions,,,,Direwolf (x3),,,Lobo gigante (x3),,,,,,,,,,
TwitchAction_SpawnTrioDirewolfCommand,twitch,Actions,,,,#trio_direwolf,,,#trío_lobogigante,,,,,,,,,,
TwitchAction_SpawnTrioDirewolfDesc,twitch,Actions,,,,Spawns a set of three direwolves.,,,Aparece un conjunto de tres lobos gigantes.,,,,,,,,,,
TwitchAction_SpawnTrioDog,twitch,Actions,,,,Dog (x3),,,Perro (x3),,,,,,,,,,
TwitchAction_SpawnTrioDogCommand,twitch,Actions,,,,#trio_dog,,,#trío_perro,,,,,,,,,,
TwitchAction_SpawnTrioDogDesc,twitch,Actions,,,,Spawns a set of three dogs.,,,Aparece un conjunto de tres perros.,,,,,,,,,,
TwitchAction_SpawnTrioLion,twitch,Actions,,,,Lion (x3),,,Puma (x3),,,,,,,,,,
TwitchAction_SpawnTrioLionCommand,twitch,Actions,,,,#trio_lion,,,#trío_puma,,,,,,,,,,
TwitchAction_SpawnTrioLionDesc,twitch,Actions,,,,Spawns a set of three lions.,,,Aparece un conjunto de tres pumas.,,,,,,,,,,
TwitchAction_SpawnTrioNormal,twitch,Actions,,,,Normal Zombie (x3),,,Zombi normal (x3),,,,,,,,,,
TwitchAction_SpawnTrioNormalCommand,twitch,Actions,,,,#trio_normal,,,#trío_normal,,,,,,,,,,
TwitchAction_SpawnTrioNormalDesc,twitch,Actions,,,,Spawns a set of three normal zombies.,,,Aparece un conjunto de tres zombis normales.,,,,,,,,,,
TwitchAction_SpawnTrioSnake,twitch,Actions,,,,Snake (x3),,,Serpiente (x3),,,,,,,,,,
TwitchAction_SpawnTrioSnakeCommand,twitch,Actions,,,,#trio_snake,,,#trío_serpiente,,,,,,,,,,
TwitchAction_SpawnTrioSnakeDesc,twitch,Actions,,,,Spawns a set of three snakes.,,,Aparece un conjunto de tres serpientes.,,,,,,,,,,
TwitchAction_SpawnTrioVulture,twitch,Actions,,,,Vulture (x3),,,Buitre (x3),,,,,,,,,,
TwitchAction_SpawnTrioVultureCommand,twitch,Actions,,,,#trio_vulture,,,#trío_buitre,,,,,,,,,,
TwitchAction_SpawnTrioVultureDesc,twitch,Actions,,,,Spawns a set of three vultures.,,,Aparece un conjunto de tres buitres.,,,,,,,,,,
TwitchAction_SpawnTrioWolf,twitch,Actions,,,,Wolf (x3),,,Lobo (x3),,,,,,,,,,
TwitchAction_SpawnTrioWolfCommand,twitch,Actions,,,,#trio_wolf,,,#trío_lobo,,,,,,,,,,
TwitchAction_SpawnTrioWolfDesc,twitch,Actions,,,,Spawns a set of three wolves.,,,Aparece un conjunto de tres lobos.,,,,,,,,,,
TwitchAction_SpawnVulture,twitch,Actions,,,,Vulture,,,Buitre,,,,,,,,,,
TwitchAction_SpawnVultureCommand,twitch,Actions,,,,#spawn_vulture,,,#aparición_buitre,,,,,,,,,,
TwitchAction_SpawnVultureDesc,twitch,Actions,,,,Spawns a single vulture.,,,Aparece un solo buitre.,,,,,,,,,,
TwitchAction_SpawnVultureRad,twitch,Actions,,,,Radiated Vulture,,,Buitre irradiado,,,,,,,,,,
TwitchAction_SpawnVultureRadCommand,twitch,Actions,,,,#spawn_radvulture,,,#aparición_buitreirrad,,,,,,,,,,
TwitchAction_SpawnVultureRadDesc,twitch,Actions,,,,Spawns a single Radiated vulture.,,,Aparece un solo buitre irradiado.,,,,,,,,,,
TwitchAction_SpawnWight,twitch,Actions,,,,Wight,,,Criatura,,,,,,,,,,
TwitchAction_SpawnWightCommand,twitch,Actions,,,,#spawn_wight,,,#aparición_criatura,,,,,,,,,,
TwitchAction_SpawnWightDesc,twitch,Actions,,,,Spawns a single Wight.,,,Aparece una sola criatura.,,,,,,,,,,
TwitchAction_SpawnWightInfernal,twitch,Actions,,,,Infernal Wight,,,Criatura infernal,,,,,,,,,,
TwitchAction_SpawnWightInfernalDesc,twitch,Actions,,,,Spawns a single Infernal Wight.,,,Aparece una sola criatura infernal.,,,,,,,,,,
TwitchAction_SpawnWightRad,twitch,Actions,,,,Radiated Wight,,,Criatura irradiada,,,,,,,,,,
TwitchAction_SpawnWightRadDesc,twitch,Actions,,,,Spawns a single Radiated Wight.,,,Aparece una sola criatura irradiada.,,,,,,,,,,
TwitchAction_SpawnWolf,twitch,Actions,,,,Wolf,,,Lobo,,,,,,,,,,
TwitchAction_SpawnWolfCommand,twitch,Actions,,,,#spawn_wolf,,,#aparición_lobo,,,,,,,,,,
TwitchAction_SpawnWolfDesc,twitch,Actions,,,,Spawns a single wolf.,,,Aparece un solo lobo.,,,,,,,,,,
TwitchAction_SpawnZombieBear,twitch,Actions,,,,Zombie Bear,,,Oso zombi,,,,,,,,,,
TwitchAction_SpawnZombieBearDesc,twitch,Actions,,,,Spawns a single zombie bear.,,,Aparece un solo oso zombi.,,,,,,,,,,
TwitchAction_Supply44Ammo,twitch,Actions,,,,.44 Magnum Ammo Crate,,,Embalaje de munición de Magnum .44,,,,,,,,,,
TwitchAction_Supply44AmmoCommand,twitch,Actions,,,,#supply_44_ammo,,,#suministros_munición_44,,,,,,,,,,
TwitchAction_Supply44AmmoDesc,twitch,Actions,,,,Spawns a single .44 Magnum Ammo Crate.,,,Aparece un solo embalaje de munición de Magnum .44.,,,,,,,,,,
TwitchAction_Supply4x4,twitch,Actions,,,,4x4 Parts Crate,,,Embalaje de piezas de 4x4,,,,,,,,,,
TwitchAction_Supply4x4Command,twitch,Actions,,,,#supply_4x4,,,#suministro_4x4,,,,,,,,,,
TwitchAction_Supply4x4Desc,twitch,Actions,,,,Spawns a single 4x4 Parts Crate.,,,Aparece un solo embalaje de piezas de 4x4.,,,,,,,,,,
TwitchAction_Supply762Ammo,twitch,Actions,,,,7.62mm Ammo Crate,,,Embalaje de munición de 7.62 mm,,,,,,,,,,
TwitchAction_Supply762AmmoCommand,twitch,Actions,,,,#supply_762_ammo,,,#suministros_munición_762,,,,,,,,,,
TwitchAction_Supply762AmmoDesc,twitch,Actions,,,,Spawns a single 7.62mm Ammo Crate.,,,Aparece un solo embalaje de munición de 7.62 mm.,,,,,,,,,,
TwitchAction_Supply9mmAmmo,twitch,Actions,,,,9mm Ammo Crate,,,Embalaje de munición de 9 mm,,,,,,,,,,
TwitchAction_Supply9mmAmmoCommand,twitch,Actions,,,,#supply_9mm_ammo,,,#suministros_munición_9mm,,,,,,,,,,
TwitchAction_Supply9mmAmmoDesc,twitch,Actions,,,,Spawns a single 9mm Ammo Crate.,,,Aparece un solo embalaje de munición de 9 mm.,,,,,,,,,,
TwitchAction_SupplyAK47,twitch,Actions,,,,AK-47 Crate,,,Embalaje de AK-47,,,,,,,,,,
TwitchAction_SupplyAK47Command,twitch,Actions,,,,#supply_ak47,,,#suministros_ak47,,,,,,,,,,
TwitchAction_SupplyAK47Desc,twitch,Actions,,,,Spawns a single AK-47 Crate.,,,Aparece un solo embalaje de AK-47.,,,,,,,,,,
TwitchAction_SupplyAmmo1,twitch,Actions,,,,Ammo Crate 1,,,Embalaje de munición 1,,,,,,,,,,
TwitchAction_SupplyAmmo1Desc,twitch,Actions,,,,Spawns a single Ammo Crate 1.,,,Aparece un solo embalaje de munición 1.,,,,,,,,,,
TwitchAction_SupplyAmmo2,twitch,Actions,,,,Ammo Crate 2,,,Embalaje de munición 2,,,,,,,,,,
TwitchAction_SupplyAmmo2Desc,twitch,Actions,,,,Spawns a single Ammo Crate 2.,,,Aparece un solo embalaje de munición 2.,,,,,,,,,,
TwitchAction_SupplyAmmo3,twitch,Actions,,,,Ammo Crate 3,,,Embalaje de munición 3,,,,,,,,,,
TwitchAction_SupplyAmmo3Desc,twitch,Actions,,,,Spawns a single Ammo Crate 3.,,,Aparece un solo embalaje de munición 3.,,,,,,,,,,
TwitchAction_SupplyAmmo4,twitch,Actions,,,,Ammo Crate 4,,,Embalaje de munición 4,,,,,,,,,,
TwitchAction_SupplyAmmo4Desc,twitch,Actions,,,,Spawns a single Ammo Crate 4.,,,Aparece un solo embalaje de munición 4.,,,,,,,,,,
TwitchAction_SupplyAmmoCommand,twitch,Actions,,,,#supply_ammo,,,#suministro_munición,,,,,,,,,,
TwitchAction_SupplyArmor1,twitch,Actions,,,,Armor Crate 1,,,Embalaje de armaduras 1,,,,,,,,,,
TwitchAction_SupplyArmor1Desc,twitch,Actions,,,,Spawns a single Armor Crate 1.,,,Aparece un solo embalaje de armaduras 1.,,,,,,,,,,
TwitchAction_SupplyArmor2,twitch,Actions,,,,Armor Crate 2,,,Embalaje de armaduras 2,,,,,,,,,,
TwitchAction_SupplyArmor2Desc,twitch,Actions,,,,Spawns a single Armor Crate 2.,,,Aparece un solo embalaje de armaduras 2.,,,,,,,,,,
TwitchAction_SupplyArmor3,twitch,Actions,,,,Armor Crate 3,,,Embalaje de armaduras 3,,,,,,,,,,
TwitchAction_SupplyArmor3Desc,twitch,Actions,,,,Spawns a single Armor Crate 3.,,,Aparece un solo embalaje de armaduras 3.,,,,,,,,,,
TwitchAction_SupplyArmorAssassin,twitch,Actions,,,,Assassin Armor Crate,,,Embalaje de armadura de asesino,,,,,,,,,,
TwitchAction_SupplyArmorAssassinCommand,twitch,Actions,,,,#supply_assassin,,,#suministros_asesino,,,,,,,,,,
TwitchAction_SupplyArmorAssassinDesc,twitch,Actions,,,,Spawns a single Assassin Armor Crate.,,,Aparece un solo embalaje de armadura de asesino.,,,,,,,,,,
TwitchAction_SupplyArmorAthletic,twitch,Actions,,,,Athletic Armor Crate,,,Embalaje de armadura de atleta,,,,,,,,,,
TwitchAction_SupplyArmorAthleticCommand,twitch,Actions,,,,#supply_athletic,,,#suministros_atleta,,,,,,,,,,
TwitchAction_SupplyArmorAthleticDesc,twitch,Actions,,,,Spawns a single Athletic Armor Crate.,,,Aparece un solo embalaje de armadura de atleta.,,,,,,,,,,
TwitchAction_SupplyArmorBiker,twitch,Actions,,,,Biker Armor Crate,,,Embalaje de armadura de motociclista,,,,,,,,,,
TwitchAction_SupplyArmorBikerCommand,twitch,Actions,,,,#supply_biker,,,#suministros_motociclista,,,,,,,,,,
TwitchAction_SupplyArmorBikerDesc,twitch,Actions,,,,Spawns a single Biker Armor Crate.,,,Aparece un solo embalaje de armadura de motociclista.,,,,,,,,,,
TwitchAction_SupplyArmorCommand,twitch,Actions,,,,#supply_armor,,,#suministro_armadura,,,,,,,,,,
TwitchAction_SupplyArmorCommando,twitch,Actions,,,,Commando Armor Crate,,,Embalaje de armadura de comando,,,,,,,,,,
TwitchAction_SupplyArmorCommandoCommand,twitch,Actions,,,,#supply_commando,,,#suministros_comando,,,,,,,,,,
TwitchAction_SupplyArmorCommandoDesc,twitch,Actions,,,,Spawns a single Commando Armor Crate.,,,Aparece un solo embalaje de armadura de comando.,,,,,,,,,,
TwitchAction_SupplyArmorEnforcer,twitch,Actions,,,,Enforcer Armor Crate,,,Embalaje de armadura de sicario,,,,,,,,,,
TwitchAction_SupplyArmorEnforcerCommand,twitch,Actions,,,,#supply_enforcer,,,#suministros_sicario,,,,,,,,,,
TwitchAction_SupplyArmorEnforcerDesc,twitch,Actions,,,,Spawns a single Enforcer Armor Crate.,,,Aparece un solo embalaje de armadura de sicario.,,,,,,,,,,
TwitchAction_SupplyArmorFarmer,twitch,Actions,,,,Farmer Armor Crate,,,Embalaje de armadura de granjero,,,,,,,,,,
TwitchAction_SupplyArmorFarmerCommand,twitch,Actions,,,,#supply_farmer,,,#suministros_granjero,,,,,,,,,,
TwitchAction_SupplyArmorFarmerDesc,twitch,Actions,,,,Spawns a single Farmer Armor Crate.,,,Aparece un solo embalaje de armadura de granjero.,,,,,,,,,,
TwitchAction_SupplyArmorLumberjack,twitch,Actions,,,,Lumberjack Armor Crate,,,Embalaje de armadura de leñador,,,,,,,,,,
TwitchAction_SupplyArmorLumberjackCommand,twitch,Actions,,,,#supply_lumberjack,,,#suministros_leñador,,,,,,,,,,
TwitchAction_SupplyArmorLumberjackDesc,twitch,Actions,,,,Spawns a single Lumberjack Armor Crate.,,,Aparece un solo embalaje de armadura de leñador.,,,,,,,,,,
TwitchAction_SupplyArmorMiner,twitch,Actions,,,,Miner Armor Crate,,,Embalaje de armadura de minero,,,,,,,,,,
TwitchAction_SupplyArmorMinerCommand,twitch,Actions,,,,#supply_miner,,,#suministros_minero,,,,,,,,,,
TwitchAction_SupplyArmorMinerDesc,twitch,Actions,,,,Spawns a single Miner Armor Crate.,,,Aparece un solo embalaje de armadura de minero.,,,,,,,,,,
TwitchAction_SupplyArmorNerd,twitch,Actions,,,,Nerd Armor Crate,,,Embalaje de armadura de nerd,,,,,,,,,,
TwitchAction_SupplyArmorNerdCommand,twitch,Actions,,,,#supply_nerd,,,#suministros_nerd,,,,,,,,,,
TwitchAction_SupplyArmorNerdDesc,twitch,Actions,,,,Spawns a single Nerd Armor Crate.,,,Aparece un solo embalaje de armadura de nerd.,,,,,,,,,,
TwitchAction_SupplyArmorNomad,twitch,Actions,,,,Nomad Armor Crate,,,Embalaje de armadura de nómada,,,,,,,,,,
TwitchAction_SupplyArmorNomadCommand,twitch,Actions,,,,#supply_nomad,,,#suministros_nómada,,,,,,,,,,
TwitchAction_SupplyArmorNomadDesc,twitch,Actions,,,,Spawns a single Nomad Armor Crate.,,,Aparece un solo embalaje de armadura de nómada.,,,,,,,,,,
TwitchAction_SupplyArmorPreacher,twitch,Actions,,,,Preacher Armor Crate,,,Embalaje de armadura de predicador,,,,,,,,,,
TwitchAction_SupplyArmorPreacherCommand,twitch,Actions,,,,#supply_preacher,,,#suministros_predicador,,,,,,,,,,
TwitchAction_SupplyArmorPreacherDesc,twitch,Actions,,,,Spawns a single Preacher Armor Crate.,,,Aparece un solo embalaje de armadura de predicador.,,,,,,,,,,
TwitchAction_SupplyArmorRaider,twitch,Actions,,,,Raider Armor Crate,,,Embalaje de armadura de asaltante,,,,,,,,,,
TwitchAction_SupplyArmorRaiderCommand,twitch,Actions,,,,#supply_raider,,,#suministros_asaltante,,,,,,,,,,
TwitchAction_SupplyArmorRaiderDesc,twitch,Actions,,,,Spawns a single Raider Armor Crate.,,,Aparece un solo embalaje de armadura de asaltante.,,,,,,,,,,
TwitchAction_SupplyArmorRanger,twitch,Actions,,,,Ranger Armor Crate,,,Embalaje de armadura de ranger,,,,,,,,,,
TwitchAction_SupplyArmorRangerCommand,twitch,Actions,,,,#supply_ranger,,,#suministros_ranger,,,,,,,,,,
TwitchAction_SupplyArmorRangerDesc,twitch,Actions,,,,Spawns a single Ranger Armor Crate.,,,Aparece un solo embalaje de armadura de ranger.,,,,,,,,,,
TwitchAction_SupplyArmorRogue,twitch,Actions,,,,Rogue Armor Crate,,,Embalaje de armadura de bribón,,,,,,,,,,
TwitchAction_SupplyArmorRogueCommand,twitch,Actions,,,,#supply_rogue,,,#suministros_bribón,,,,,,,,,,
TwitchAction_SupplyArmorRogueDesc,twitch,Actions,,,,Spawns a single Rogue Armor Crate.,,,Aparece un solo embalaje de armadura de bribón.,,,,,,,,,,
TwitchAction_SupplyArmorScavenger,twitch,Actions,,,,Scavenger Armor Crate,,,Embalaje de armadura de carroñero,,,,,,,,,,
TwitchAction_SupplyArmorScavengerCommand,twitch,Actions,,,,#supply_scavenger,,,#suministros_carroñero,,,,,,,,,,
TwitchAction_SupplyArmorScavengerDesc,twitch,Actions,,,,Spawns a single Scavenger Armor Crate.,,,Aparece un solo embalaje de armadura de carroñero.,,,,,,,,,,
TwitchAction_SupplyAutoShotgun,twitch,Actions,,,,Auto Shotgun Crate,,,Embalaje de escopeta automática,,,,,,,,,,
TwitchAction_SupplyAutoShotgunCommand,twitch,Actions,,,,#supply_auto_shotgun,,,#suministros_escopeta_automática,,,,,,,,,,
TwitchAction_SupplyAutoShotgunDesc,twitch,Actions,,,,Spawns a single Auto Shotgun Crate.,,,Aparece un solo embalaje de escopeta automática.,,,,,,,,,,
TwitchAction_SupplyBandage,twitch,Actions,,,,Bandage Crate,,,Embalaje de vendas,,,,,,,,,,
TwitchAction_SupplyBandageCommand,twitch,Actions,,,,#supply_bandage,,,#suministros_vendas,,,,,,,,,,
TwitchAction_SupplyBandageDesc,twitch,Actions,,,,Spawns a single Bandage Crate.,,,Aparece un solo embalaje de vendas.,,,,,,,,,,
TwitchAction_SupplyBicycle,twitch,Actions,,,,Bicycle Parts Crate,,,Embalaje de piezas de bicicleta,,,,,,,,,,
TwitchAction_SupplyBicycleCommand,twitch,Actions,,,,#supply_bicycle,,,#suministro_bicicleta,,,,,,,,,,
TwitchAction_SupplyBicycleDesc,twitch,Actions,,,,Spawns a single Bicycle Parts Crate.,,,Aparece un solo embalaje de piezas de bicicleta.,,,,,,,,,,
TwitchAction_SupplyBooks1,twitch,Actions,,,,Book Crate 1,,,Embalaje de libros 1,,,,,,,,,,
TwitchAction_SupplyBooks1Desc,twitch,Actions,,,,Spawns a single Book Crate 1.,,,Aparece un solo embalaje de libros 1.,,,,,,,,,,
TwitchAction_SupplyBooks2,twitch,Actions,,,,Book Crate 2,,,Embalaje de libros 2,,,,,,,,,,
TwitchAction_SupplyBooks2Desc,twitch,Actions,,,,Spawns a single Book Crate 2.,,,Aparece un solo embalaje de libros 2.,,,,,,,,,,
TwitchAction_SupplyBooks3,twitch,Actions,,,,Book Crate 3,,,Embalaje de libros 3,,,,,,,,,,
TwitchAction_SupplyBooks3Desc,twitch,Actions,,,,Spawns a single Book Crate 3.,,,Aparece un solo embalaje de libros 3.,,,,,,,,,,
TwitchAction_SupplyBooksCommand,twitch,Actions,,,,#supply_books,,,#suministro_libros,,,,,,,,,,
